Year,Domestic & Small Commercial,Industrial (Large & Medium),Street Lighting,Rural Electrification,Total Demand(Gwh)
2024,4459.1,5515.2,89.9,684.79,10748.99
2023,4252.4,5299.8,109.1,659.36,10320.66
2022,4291.5,4958.2,94.2,664.47,10008.37
2021,4088.6,4728.4,99.6,648.8,9565.4
2020,3829.1,4281,74.5,611.9,8796.5
2019,3780.1,4441,63.9,569,8854
2018,3665.9,4336.5,68.2,601.3,8671.9
2017,3528.3,4199,60.1,580.6,8368
2016,3315.7,4146.3,46.3,513.1,8021.4
2015,3254.9,4017.8,31.4,496.6,7800.7
2014,3273.8,3891.5,22.5,478.7,7666.5
2013,2866.1,3585.3,17.2,426.8,6895.4
2012,2568.5,3409.2,20.6,380.1,6378.4
2011,2471.4,3440.3,17.9,306.1,6235.7
2010,2200.3,3204.9,29.5,290.8,5725.5
2009,2058.1,3058.1,21.3,254.4,5391.9
2008,2030.8,3019.8,26.3,239.1,5316
2007,1741.8,3140.6,12.2,212.8,5107.4
2006,1572.4,2919.8,10,205.6,4707.8
2005,1507.7,2753.5,8.5,175.8,4445.5
2004,1416.6,2587,7.2,156.5,4167.3
2003,1325.5,2368.8,7.3,153.2,3854.8
2002,1262.9,2277.9,6.4,134.3,3681.5
2001,1132.8,2167.5,6.5,129,3435.8
2000,1065.6,2061.8,8.8,124.7,3260.9
1999,1256.8,2180.8,10.7,152,3600.3
1998,1212.6,2137.3,10.1,155.1,3515.1
1997,1165.8,2261.4,11.2,144.1,3582.5
1996,1086.9,2146.9,9.8,149.6,3393.2
1995,1026,1995,19,125,3165
1994,977,1955,10,138,3080
1993,927,1915,13,104,2959
1992,877,1835,14,85,2811
1991,823,1832,14,76,2745
1990,780,1754,14,67,2615
1989,729,1632,14,49,2424
1988,709,1574,14,36,2333
1987,616,1580,14,0,2210
1986,600,1441,8,0,2049
1985,545,1354,9,0,1908
1984,514,1206,9,0,1729
1983,484,1144,10,0,1638
1982,455,1121,11,0,1587
1981,438,1096,11,0,1545
1980,402,1014,11,0,1427
1979,385,961,10,0,1356
1978,360,884,10,0,1254
1977,339,812,11,0,1162
1976,302,709,11,0,1022
